route_id,origin,destination,cargo_type,containers,recommended_ship,imo_number,speed,latitude,longitude,departure_port,arrival_port,origin_country,destination_country
1,Chennai,Shanghai,General Cargo,15,Pacific Pearl,9300016,15.2,13.0827,80.2707,Chennai,Shanghai,India,China
2,Valencia,Mumbai,General Cargo,5,Golden Wave,9300022,17.5,39.4699,-0.3763,Valencia,Mumbai,Spain,India
3,Rotterdam,Los Angeles,Container,75,Neptune Star,9300022,19.8,51.9244,4.4777,Rotterdam,Los Angeles,Netherlands,USA
4,Valencia,Sydney,General Cargo,25,Global Trader,9300018,17.8,39.4699,-0.3763,Valencia,Sydney,Spain,Australia
5,Dubai,Colombo,Bulk Cargo,20,Atlantic Spirit,9300021,15.6,25.2048,55.2708,Dubai,Colombo,UAE,Sri Lanka
6,Chennai,Mumbai,Liquid Cargo,30,Maritime Eagle,9300023,13.3,13.0827,80.2707,Chennai,Mumbai,India,India
7,Los Angeles,Singapore,General Cargo,40,Cargo Express,9300025,19.0,33.7405,-118.2755,Los Angeles,Singapore,USA,Singapore
8,Valencia,New York,Liquid Cargo,30,Golden Wave,9300028,23.5,39.4699,-0.3763,Valencia,New York,Spain,USA
9,Rotterdam,Mumbai,General Cargo,25,Ocean Star,9300020,20.6,51.9244,4.4777,Rotterdam,Mumbai,Netherlands,India
10,Hamburg,Chennai,Container,30,Maritime Eagle,9300017,15.6,53.5511,9.9937,Hamburg,Chennai,Germany,India
11,Hong Kong,Tokyo,Liquid Cargo,10,Global Trader,9300015,20.7,22.3193,114.1694,Hong Kong,Tokyo,Hong Kong,Japan
12,Dubai,Santos,Bulk Cargo,40,Global Trader,9300016,14.1,25.2048,55.2708,Dubai,Santos,UAE,Brazil
13,Valencia,Hamburg,Container,5,Atlantic Spirit,9300019,23.0,39.4699,-0.3763,Valencia,Hamburg,Spain,Germany
14,Singapore,Hong Kong,Liquid Cargo,20,Maritime Eagle,9300021,15.5,1.3521,103.8198,Singapore,Hong Kong,Singapore,Hong Kong
15,Busan,Rotterdam,Container,50,Cargo Express,9300023,17.1,35.1796,129.0756,Busan,Rotterdam,South Korea,Netherlands
16,Los Angeles,Kolkata,Bulk Cargo,75,Global Trader,9300020,21.7,33.7405,-118.2755,Los Angeles,Kolkata,USA,India
17,Santos,Sydney,Container,20,Golden Wave,9300027,17.2,-23.9608,-46.3336,Santos,Sydney,Brazil,Australia
18,Antwerp,Jebel Ali,Container,10,Sea Voyager,9300020,21.8,51.2194,4.4025,Antwerp,Jebel Ali,Belgium,UAE
19,Dubai,Colombo,Liquid Cargo,40,Golden Wave,9300029,12.8,25.2048,55.2708,Dubai,Colombo,UAE,Sri Lanka
20,Colombo,Valencia,General Cargo,5,Pacific Pearl,9300015,24.6,6.9271,79.8612,Colombo,Valencia,Sri Lanka,Spain
21,Valencia,Los Angeles,Container,40,Atlantic Spirit,9300017,13.5,39.4699,-0.3763,Valencia,Los Angeles,Spain,USA
22,Colombo,Shanghai,Liquid Cargo,15,Pacific Pearl,9300017,24.6,6.9271,79.8612,Colombo,Shanghai,Sri Lanka,China
23,Chennai,Busan,Bulk Cargo,15,Neptune Star,9300022,19.9,13.0827,80.2707,Chennai,Busan,India,South Korea
