pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P001,1,100,75,1.00,50,15
P002,2,110,80,0.95,60,15
P003,3,105,70,1.05,55,15
P004,4,100,80,1.00,50,15
P005,5,95,70,1.00,45,15
P006,6,105,75,0.95,55,15
P007,7,90,65,1.05,45,15
P008,8,100,70,0.95,50,15
P009,9,85,60,1.10,40,15
P010,10,90,65,1.05,45,15
P011,11,100,75,1.00,50,15
P012,12,110,80,0.95,60,15
P013,13,105,70,1.05,55,15
P014,14,100,80,1.00,50,15
P015,15,95,70,1.00,45,15
P016,16,105,75,0.95,55,15
P017,17,90,65,1.05,45,15
P018,18,100,70,0.95,50,15
P019,19,85,60,1.10,40,15
P020,20,90,65,1.05,45,15
P021,21,100,75,1.00,50,15
P022,22,110,80,0.95,60,15
P023,23,105,70,1.05,55,15
P024,24,100,80,1.00,50,15
P025,25,95,70,1.00,45,15
P026,26,105,75,0.95,55,15
P027,27,90,65,1.05,45,15
P028,28,100,70,0.95,50,15
P029,29,85,60,1.10,40,15
P030,30,90,65,1.05,45,15
P031,31,100,75,1.00,50,15
P032,32,110,80,0.95,60,15
P033,33,105,70,1.05,55,15
P034,34,100,80,1.00,50,15
P035,35,95,70,1.00,45,15
P036,36,105,75,0.95,55,15
P037,37,90,65,1.05,45,15
P038,38,100,70,0.95,50,15
P039,39,85,60,1.10,40,15
P040,40,90,65,1.05,45,15
P041,41,100,75,1.00,50,15
P042,42,110,80,0.95,60,15
P043,43,105,70,1.05,55,15
P044,44,100,80,1.00,50,15
P045,45,95,70,1.00,45,15
P046,46,105,75,0.95,55,15
P047,47,90,65,1.05,45,15
P048,48,100,70,0.95,50,15
P049,49,85,60,1.10,40,15
P050,50,90,65,1.05,45,15
P051,51,100,75,1.00,50,15
P052,52,110,80,0.95,60,15
P053,53,105,70,1.05,55,15
P054,54,100,80,1.00,50,15
P055,55,95,70,1.00,45,15
P056,56,105,75,0.95,55,15
P057,57,90,65,1.05,45,15
P058,58,100,70,0.95,50,15
P059,59,85,60,1.10,40,15
P060,60,90,65,1.05,45,15
P061,61,100,75,1.00,50,15
P062,62,110,80,0.95,60,15
P063,63,105,70,1.05,55,15
P064,64,100,80,1.00,50,15
P065,65,95,70,1.00,45,15
P066,66,105,75,0.95,55,15
P067,67,90,65,1.05,45,15
P068,68,100,70,0.95,50,15
P069,69,85,60,1.10,40,15
P070,70,90,65,1.05,45,15
P071,71,100,75,1.00,50,15
P072,72,110,80,0.95,60,15
P073,73,105,70,1.05,55,15
P074,74,100,80,1.00,50,15
P075,75,95,70,1.00,45,15
P076,76,105,75,0.95,55,15
P077,77,90,65,1.05,45,15
P078,78,100,70,0.95,50,15
P079,79,85,60,1.10,40,15
P080,80,90,65,1.05,45,15
P081,81,100,75,1.00,50,15
P082,82,110,80,0.95,60,15
P083,83,105,70,1.05,55,15
P084,84,100,80,1.00,50,15
P085,85,95,70,1.00,45,15
P086,86,105,75,0.95,55,15
P087,87,90,65,1.05,45,15
P088,88,100,70,0.95,50,15
